sentence1	sentence2	score
A tent and a campsite in a sunlit forest.	A white dog on a beach is carrying a stick in its mouth.	0
Two large dogs running in some grass.	Two brindle dogs running in the grass.	4.2
A dog swimming with a stick in it's mouth.	A dog running with a stick in it's mouth.	2.6
A man playing fetch with two brown dogs.	A woman plays with a brown dog.	2.33
a dog is running across the sand with a stick in it's mouth.	A dog is running through a creek with a stick in its mouth.	3.6
A man is standing in water near a waterfall.	A man wades in the water and watches a water fall.	3.4
A tan dog jumps up to catch a tennis ball.	A red dog jumps an catches a tennis ball in its mouth.	3
The man is jumping into the water.	The man is up in the air.	2.4
A woman in a black shirt stands in front of bananas at a fruit stand.	a woman wearing black stands in front of a pickup truck.	2.4
A child is jumping into a swimming pool.	A dog jumping into a swimming pool.	1.2
A little boy jumping from one chair to another.	A young boy jumping from one chair to another in his house	4.8
A girl swings her long, wet hair in a lake.	A person riding a dirt bike.	0
Two dogs playing by the shore.	Two dogs playing in the snow.	2.8
A little girl walks on a boardwalk with blue domes in the background.	A man going over a jump on his bike with a river in the background	0
Two women sitting on a bench, their faces obscured, with one woman carrying an inflatable tiger and the other woman in a Disney snow white costume.	A girl sits on a bench holding an inflatable tiger next to another girl in a colorful outfit.	2.2
A guy and two girls are smiling at the camera.	Three dogs, one white and two brown, are running together on a field of grass.	0
A dog swimming with a stick in it's mouth.	Dog swimming in the water with a stick in its mouth.	5
A black poodle plays in the snow.	A black poodle frolics in the snow.	5
two girls holding up a scary movie flyer	Two girls holding sacks are standing in a field.	1.4
Three boys are running on the beach playing a game.	Two young boys and one young man run on a beach with water behind them.	3.2
A girl is wearing a purple sash and matching skirt.	A group of girls stands wearing jean skirts and superman shirts.	1.6
a man wearing a grey jacket standing on the side of a street.	A boy wearing a blue life jacket is holding onto the side of a green boat.	0.6
A brown and black dog is jumping to catch a red ball.	A brown and black dog jumps for a red ball.	5
The tan dog runs through the leaves.	The white dog runs through the ocean.	1.8
A white and black dog is jumping into a pool.	A woman in a black apron is standing in front of a mirror.	0
A black and white dog is carrying a stick in its mouth.	The black and white dog has a stick in his paws.	3
A deer jumps a fence.	A deer jumping over a fence.	5
A little girl holds a wooden stick.	A little girl swimming in a pool.	2.2
A black dog jumps through the water.	A dog walks through the snow.	2.4
A group of people in front of a red fire truck.	A group of people are standing around a red fire truck.	4.2
a boy jumps into the blue pool water.	The young boy is jumping into the pool on his belly.	3.4
A blonde dog is catching a ball in its mouth in the snow.	A little blonde girl is sitting on a green chair.	0
Three children and playing and laughing on the floor.	Three children playing on the floor.	3.8
A man sits with fishing poles near a body of water.	A man sits on a rock next to a folding deck chair and a fishing pole.	3.4
A woman and a dog standing in the grass.	A man carries a sign while standing in the rain.	0
A man in a blue shirt is running in a stadium field.	A man wearing a blue hat and shirt is riding a white horse.	1
A black dog running through water.	A black dog is running through some water.	4.8
Children jumping on a trampoline.	A man is sledding on an orange slide.	0
A large brown dog is crouching in a grassy field.	A brown dog is running in a field.	3
A dog runs through the grass.	A dog runs through the snow.	2.2
A skier speeds through the snow.	A brown dog carrying a Frisbee runs through the snow.	0.2
Two people are playing golf on a golf course.	Two people are on a golf course playing golf.	5
A boy and a girl playing on the beach.	A dog playing in the waves with a ball.	0.8
The child in the red coat laid in the red mat.	The toddler is ready to climb the red piece of equipment.	0.8
Two dogs play in the grass.	Two dogs are playing in the grass.	5
A child in a blue and white team uniform chasing a soccer ball.	A young boy in a blue soccer uniform chasing a ball.	4
A softball player swinging at a pitch.	A baseball player hitting the ball	2.8
A man is kite surfing away from the camera.	A man is sky surfing on the water.	2.8
A black dog is running in the grass.	A boy running through green grass.	1
A little boy and a little girl playing together outside.	A young boy and a young girl walking towards each other	2
Two people sit on the end of a dock.	Two people sitting on a dock.	4.2
Two dogs in a yard.	Two dogs in a stream.	2
A man chases a dog trying to pass the barrier to enter a play area.	A man follows his black and white dog as it takes on an obstacle course.	2.2
The large brown and white dog is running through the snow.	St. Bernard dog running in the snowy field.	4
A bloody man and woman pose for a picture.	A man in woman dressed warmly pose for a picture.	2
A yellow dog is playing in a grassy area near flowers.	A girl is playing on a swing.	0.4
a boy plays with a noodle by the pool.	A boy plays with a foam noodle toy by a pool.	4.6
two big brown dogs running through the snow.	A brown dog running through the grass.	2
A young boy jumps into a pool with outstretched arms.	A dog jumps into a backyard pool.	1.2
A girl holds up a yellow balloon animal.	A child holds a yellow balloon.	4
Two dogs share a toy in a field of vegetation.	Two snowboarders are in the air over the snow.	0.17
A blond haired lady in white poses for the camera.	A black and white dog runs with its mouth open.	0
A dog runs through a field chasing a ball.	A child runs through the grass.	0.2
Two girls are sitting in front of a statue.	Two blonde girls are sitting next to a statue	3.8
A girl in orange lights a candle.	A girl in an orange shirt lights candles.	4
A white dog runs through a field of yellow flowers.	A dog with a red collar runs in a forest in the middle of winter.	1.6
An infant sitting on a cot reaching over to touch the face of an older boy.	A boy who seems ill is being touched in the face by a toddler.	2.2
A dog shaking off water.	A dog shaking water off.	5
Young boys running along the pavement.	A black dog running along the edge of the ocean.	0.5
A young child slides down an orange slide.	A little boy in denim overalls slides down an orange slide.	3.67
a black and white dog running through some red and white poles	Black and white dog in living room standing on hind legs.	1.6
"Three individuals are posing on skis behind a ""no skiing"" sign."	Three people on skis are standing behind a no skiing sign.	4.4
A man in a white suit walks down the street holding a newspaper.	A man in a white suit walks outside carrying a newspaper.	4.6
A black dog with a blue collar is running in the snow.	A black dog wearing a blue collar is running through the snow.	5
A dog is running toward the camera.	A brown and white dog running on grass.	0.8
a boy swinging on a swing.	The girl is on a swing.	2.4
A group of youngsters swim in lake water	Many children are playing and swimming in the water.	4.4
A blue and white soccer team playing against each other.	A topless woman with her face painted is covered in mud.	0
A brown dog about to catch a green Frisbee.	A brown dog waits for the Frisbee to come down before catching it.	3.8
A black and white dog is swimming in a large green lake.	A black dog runs fast into shallow water.	2.2
Two large black dogs are playing in a grassy field.	Two white dogs are running together.	2.2
The brown and black dog sprints across the snow.	A black dog is running quickly along the ground.	2.8
The man in the backpack looks to his left.	An adult male wearing a backpack walks and looks to the left.	3.8
An elderly man in a blue shirt is holding up a piece of canvas art.	A black man is walking next to a building in a big city.	0
Two skinny young boys playing with sand in the water.	Two dogs are shaking water off.	0.4
A small dog runs through an obstacle course.	A small dog jumping over an obstacle.	3.8
A brown dog running through the woods.	A brown dog runs through the grass.	3.2
A group of people are standing by a window watching something.	A group of people stand and wait to see something.	3.4
A dog is jumping over a barrier at a agility competition.	A dog jumping over an obstacle course fence.	4.4
Three people racing on ice skates.	Three ice skaters round a corner.	3.2
Two women contestants are walking their dogs in a dog show.	Two women walk there dogs at a dog show.	4.8
Two men on the side of a barge	A man is lying the grass with long hair and beard.	0
A brown dog in running on grass.	A brown dog runs through the grass.	4.8
A person is riding their bike on a trail next to the woods.	A small child in a yellow shirt is holding their arms out to the sides.	0.4
A woman in a black dress smiles in front of a silver truck.	A girl wearing a black top is smiling with a silver truck in the background.	3.6
A dog is on the beach near a ball.	A guy is going up for a lay-up on a basketball court.	0.6
A dog bounds across the brown grass.	Two dogs bound across the grass.	2.6
a woman playing with two young boys at a park	A woman and three kids play at a park.	3.2
A dog emerges form the water with a stick in its mouth.	A dog runs toward the camera with a stick in its mouth.	2.4
Three dogs playing in the snow.	The boy is playing in the sand.	0.8
A dog carries a leash in its mouth.	A fluffy dog carries a black leash in its mouth.	4.2
A man in jeans is playing with a ball while a woman in jeans stands nearby looking away.	A man is tying a red arm band around another mans arm in the street.	0
A skier is falling into the snow.	A skier is falling face first into the snow.	4
A dog with a red toy in it's mouth.	A brown dog is carrying a stick in its mouth.	2.2
Two hockey players fighting on the ice.	Two hockey players in a struggle on the ice.	4.8
Two terriers play on the wood floor of their home.	Two puppies play with a red chew toy in a field.	1.6
Two dogs running through a field.	Two dogs play in a field.	4.2
A man in a gray suit locking up a bicycle	A man and a woman standing on a city street.	0.4
A man in a black leather jacket is sleeping in a subway car.	A man in a black leather jacket falls asleep on public transportation.	4.6
A dog leaping over a hurdle.	A dog leaps over the hurdle.	4.8
Two men are setting up some electronic equpitment	Two dogs are wrestling on the ground in the snow.	0
A black dog is walking on the grass with a stick in it's mouth.	A boy holds a net with a snake in it close to the ground.	0
A girl runs with dogs in a dry field.	A grey dog and a tan dog playing on a grassy field.	2.2
Two dogs playing in the snow.	Two black dogs in the snow.	4
A dog leaps off a dock and into the water.	The black dog leaps off the dock and into the water.	4
a group of old men walking down the street	A couple walking down the street.	2
Three dogs standing in snow next to a blue fence.	Three dogs play in the shallows next to a rocky shore.	2.2
A black and white dog is running through the field.	A black and white dog is running in the grass.	4.8
A boy in black waves his arms while other people are behind him on a field.	a man in a black shirt is roller blading past a bench in the city.	0.4
An elderly woman rides a bicycle along a city street.	An elderly woman walking uphill crossing the street.	2
A young boy is punching a yellow ball.	A small dog jumps over a yellow beam.	0.4
A group of young ballerinas are in a dance studio.	A group of young ladies in bikinis.	1.4
A young boy in a white dress shirt is playing on a grassy plain.	A woman is getting her hair done at a salon.	0
A man and a dog are playing tug of war.	A man dances on a colorful wall.	0.4
A wet child shivers under a towel at a pool.	A wet child is shivering in a towel in front of a pool.	4.6
A white dog runs on a beach.	The white dog is running along the beach.	5
Six dogs running on the sandy beach.	Six dogs walking beside the beach.	3.4
A man holds on to a handle in the water.	A man is holding onto handles in the air.	3.2
A white dog walking in the snow.	A black and tan dog walking through the snow.	3
The white and brown dog runs across the grass.	Three dogs are running on the grass.	3.2
A boy goes down an inflatable slide.	A boy in red slides down an inflatable ride.	3.8
Two dogs playing with a ball in a puddle.	Two dogs stand in a puddle, and one has a yellow tennis ball.	3.8
Three dogs are playing in the water.	Three dogs run in the snow.	1.4
Two dogs playing in the snow.	Two kids playing with a dog.	1.2
A girl does a back bend on the beach.	A girl doing a back bend at the beach.	4.8
The two dogs are playing fetch in the snow.	Two dogs are playing together in the grass.	2.2
Two surfers on riding a small wave.	Two surfers perform tricks in the waves.	3.6
Two people walking on the beach at sunset.	Two people walking along the shore at sunset.	5
two puppies playing around in the grass	Two dogs are wrestling in the grass.	4
A young girl is sitting on Santa's lap.	A little girl is sitting on Santa's lap	4.8
A black and white dog runs with its mouth open.	A black and white dog swims in blue water.	2.2
A young boy jumping in the air at the beach.	A boy jumping in the air on the beach.	4.8
Five men in tuxedos are walking down steps.	Five men in tuxedos walk down a set of steps	5
Man in red shorts and white shirt kicking a soccer ball.	A black dog stands in the surf holding a red rubber ball.	0
A man and dog on a rocky seashore.	Man and dog standing on rocks next to water	4.8
Brown dog splashing into the water.	Four dogs splashing in the water	2.4
The smiling woman at the beach is buried in seaweed.	A girl in a cowboy hat with a sheep on a leash.	1
A dog with big ears is holding a small stick in it's mouth.	A puppy with big ears chewing on a stick.	3.8
The large brown dog is jumping through the tall grass.	The girl wearing a blue shirt is running through a science center.	0
Two dogs fighting in the snow.	Two dogs playing in the snow.	2.6
A brown dog is in the middle of a line of dogs chasing a dirty tennis ball over dirt.	There are two white dogs and one brown dog chasing a ball.	2.8
A grey hound is active in a grassy field.	A bunch of bikes racing on a track.	0
Two people are racing a sidecar motorcycle in the mud.	The dog carrying a long stick in its mouth.	0
The man is sitting at the top of a rocky mountain.	A person sticks their head out of a tent at the top of a mountain.	2.4
A man standing on a boat is pulling another boat close by with a bamboo stick.	a man in a black hat standing in front of a brick wall and a sign	0
a man plays his white guitar.	a man playing a white guitar and singing as well	3.2
A person is skijoring with a dog in the mountains.	A brown dog is playing with a ball in the water.	0
Two shirtless young people playing in the water.	Lots of people play in the water at the beach.	2.4
Close-up of a hummingbird.	A closeup of a hummingbird flying.	3.6
Woman in a black dress walking on the street.	A woman watches a dog jump down the stairs.	0.8
A man and a woman looking at the camera.	A man and a woman laughing.	2.33
a brown dog running through the dirty muddy grass	The large brown dog is running outside in the dirt.	3.6
Three dogs pulling a man on a bicycle through the snow.	The dogs are pulling a man on a type of bike, through the snow.	5
A baby in a red hat sitting in a stroller is holding a doll.	A man in a gray shirt sitting in a field of flowers.	0
Three children playing with hay outdoors, throwing some at camera lens.	Three young children play in the hay, throwing some at the camera.	4.8
A climber is standing on the rock face next to the pink rope.	The children are running in the snow with fences in the background.	0
A black dog wearing an orange collar is entangled with fishing wire.	The black dog wearing a red collar shakes water off.	1.8
Two dogs are playing around in the dirt.	A dancer posing for the camera in a red and white dress.	0
A golden dog is running on the grass.	The large beige dog is running through the grass.	3.4
A dog runs through the grass.	a dog runs across the grass.	4.8
a man in red shorts is walking along rocks by a river carrying a stick.	A man is walking on rocks with water flowing around them.	3.4
Man rowing a boat.	a man doing a trick on skateboard	0
Three dogs running on a racetrack.	Three dogs round a bend at a racetrack.	4.8
A black and brown dog walks through the snow near a building.	An older man stands outside a old boarded up building.	0.8
A dog is jumping into a swimming pool after a duck.	A dog jumping into a swimming pool.	3.4
A dog running through a forest in the winter time	A dog running through a lot of twigs.	3.2
The girl is playing along with the images on the big screen.	Three girls holding umbrellas with their backs to the camera.	0.4
Many people run in a race on a street.	A puppy running along a street.	1
A man in swimming trunks is standing against some rocks.	A man in a gray shirt climbs a large rock wall.	1
Two white dogs walking in the snow.	A tan dog with a black collar barking in the snow.	2
A woman wearing a pink shirt jumps in the air with her arms and legs spread to her sides.	A man wearing suspenders and sunglasses leaps up in the air with his arms and legs spread out to the side.	2.4
A dog runs through the grass.	Two dogs run through the brush.	2.8
A dog running across the sand	A dog running through the water.	2.8
A woman is attempting to ride a small wave.	A man and woman sitting back to back outside in the sun.	0
The black and white dog is swimming in the river.	A black man and his dog on the beach.	0.6
Man standing on top of jagged rocks near the ocean.	A man is standing on top of rocks overlooking the ocean.	4.6
A girl in a black and blue wet suit is surfing.	A woman wearing a black and blue striped suit is surfing on a wave.	4.4
The woman is leading a dog through an obstacle course.	Woman leading her small dog through an obstacle course.	4.6
Two dogs on the beach.	A dog walks on the beach.	2.4
A young boy is standing on a gray tiled area.	A young boy is practicing his karate in a gym.	1
The dog is running with food in his mouth.	The dog is running with a yellow ball in his mouth.	2.2
Two dogs running down a beach.	two dogs running on the beach	4.8
A black and white dog swimming in the pool	A black and white dog running with something in his mouth.	2
A dog has it's head inside a red and green gift bag.	A pet playfully investigates the contents of a gift bag.	3.8
A yellow shirted man wearing a golden sun mask.	A man in a yellow shirt wears a gold, sun-shaped mask.	5
A man is scalling a sheer rock face with a rope support.	A young man is doing a ski jump with a purple board.	0.4
A child with his hands on his head.	A little boy stands with his hands on top of his head	4.2
A man wearing a orange vest is canoeing in the blue water.	A man in an orange jacket raising his hands to the sky in the sand.	1.8
An old man in a black trench coat standing in a marketplace.	The baby is wearing a red shirt and walking in a plaza.	1.2
A man climbing a cliff face.	A man climbs a sheer cliff face.	4.8
Two girls are in pajama pants and appear to be dancing.	Two girls with baseball caps are eating a snack outside.	0.6
A white and brown dog playing with a black toy.	A white and brown dog is playing tug-o-war.	3.4
A boy plays baseball.	A man is playing baseball.	3
A boy wearing a red shirt runs across the grass with a furry dog.	A sports fan is wearing face paint in the stands.	0
A black dog retrieves in the snow.	A skateboarder jumping in the street.	0
A smiling man and a baby girl posing for photo.	A smiling man holds a small child wearing pink and red.	3.2
A dog jumping for a Frisbee in the snow.	A dog is jumping in the snow.	3.2
A brown and white dog with a pink collar is barking at a brown dog with a blue collar in the snow.	The dog with the red collar is bearing it's teeth at the dog with the blue collar.	3.4
Two brown dogs are biting each other.	Two brown dogs biting each other on sand.	4.2
A skateboarder attempts a trick on the side of a low wall.	A boy does skateboard tricks on a railing.	4
A young girl doing a back flip in the water.	a young girl wearing purple running through water	2.8
A snowboarder rides a snowboard down a railing beside a flight of steps.	A boy is grinding a skateboard down a concrete wall.	0.8
A woman with two men in hats socializing outside.	A young woman with a knit cap stands against the wall of a Domino's Pizza.	1.4
A small boy in a bathrobe is sitting in a metal chair.	A boy in a robe sits in a chair.	4.2
A black dog is running through the snow.	A black pit bull dog is running through the dirt.	2.2
a group of teenagers are dancing on a wooden floor.	A group of people in dark colored clothing are line dancing on a wooden floor.	3.4
A young boy is riding a bike.	A young girl laying on a blue inflatable toy	0.4
A black dog running in the snow.	A black dog running on a beach.	1.8
Three dogs in the snow by a fence.	Two dogs drink water in a lake.	1
A girl runs along a river bank with two black dogs.	A little boy is petting a tiger that is laying down.	0.2
A teenage girl running on a beach shouting, with an older man walking behind her.	a young child running along the shore at a beach	1.8
A brown and white dog is walking next to a man on a skateboard.	A blond child is laying on a branch of a tree in a green field.	0
Man riding a surfboard on a wave.	A man in black on a surfboard riding a wave.	4
The man in the red shirt is climbing the side of a mountain.	A man is climbing the side of a mountain.	4.2
A man riding a motorcycle while wearing a black uniform.	A white motorcycle is being ridden around a race track.	1.4
a black dog swimming through a river.	a black dog digging through the snow.	1.2
A man and a woman are smiling.	A man and a woman laughing.	3.2
A man is standing on top of a rock or mountain watching the sun set.	A man standing in the mountains watching a sunset.	4.8
Two little girls are playing on a trampoline.	Two little boys are playing on a playground.	1.4
Two girls are jumping high in the air.	Two dogs nussle one another in the grass near a lake.	0.2
The woman holding a black purse is smoking a cigarette.	A woman with a black bag is smoking a cigarette	4.8
A dog is running along the grass.	A brown dog is running in the grass.	4.2
A man with long hair is looking through a camera.	A woman stands against a wall near a video camera.	1
Brown dog running on grass.	The dog is running on grass.	4
Two people wearing hats sit and look at the camera.	A man wearing a blue shirt makes a grouchy face.	0
Two girls playing with people and flowers behind them.	Two young girls wearing skirts are playing in a garden.	3.2
A girl in a pink shirt is sprawling her limbs out in midair.	A man dressed in a Santa suit is climbing up a large concrete building.	0
A little girl in a red shirt pulls a kite.	A girl in a red shirt takes a picture on a phone.	1.4
Child sliding in the snow.	Man sleeping on the street.	0
Three dogs are playing in the water.	Three dogs swim in the water.	4.2
A white dog running on sand.	A white dog runs on the sand.	5
A little girl with her hands in the air is sitting on a man's back while he is laying on a blanket.	A kid runs in the opposite direction of others who were playing a game.	0.2
a red and white race car racing on a dirt racetrack.	A person is riding a dirt bike in a race on a dirt track.	1.4
A black and white dog is running through a cow field.	A large black and white dog runs in the ocean water	2.2
A man in a straw hat shades his phone while others walk on a busy sidewalk.	A man lies on a street with his headand shoulders under a parked car that is jacked up.	0.6
A man with a messenger bag in front of a gray tile wall.	Man in red jacket standing in front of lighthouse.	0.8
A dog swims in the water.	Three dogs swim in the water.	3.2
A little white curly haired dog runs across the pavement with a stick in its mouth.	A white curly haired dog runs with a stick in it's mouth.	4.6
The blonde woman is wearing a black, american flag, tartan cap.	A red-haired woman is wearing a black beret adorned with the American flag.	2.8
A person holding a net is standing in the water.	A black woman and two black children are sitting in a thatched tent.	0.6
A woman in an red tracksuit squeezing lemons in a press.	A young woman in a pink hoodie takes a picture.	0.4
a man walks two dogs on leashes down the street	A man walks two dogs in the city.	4.2
A dog is running in the snow.	Two dogs running in the dirt	2.2
A small boy playing in the snow.	The brown and white dog is playing in the snow.	1.6
A woman in a blue shirt and tan shorts sits at a table.	A smiling young woman in a tourquoise shirt and bandanna poses at table outdoors.	3.2
a white dog running in the snow	The dogs are running in the snow.	3.2
The black dog is running through the snow.	A race car driver is driving his car through the mud.	0
A dog wearing a green sweater and a backpack walking on snow.	A small dog wearing a green sweater and a backpack walks through snow.	4.4
A group of people sitting around a desk.	A group of girls on a beach.	0.6
Three dogs are running in a field.	Two dogs are running in a grassy field	2.8
A man and woman with their hands on their chins are standing next to a Christmas tree.	The man with a white beard and blue cap is standing in the doorway of a workshop.	0.4
The black and white dog has a stick in his paws.	A black dog and a white dog are standing on snow.	1.2
A white dog running through the snow	The black and white dog runs through the grass.	1.4
A man on skis on a snow-covered hill with mountains in the background	A dog enjoys a romp in the water with mountains and sand in the background.	0.6
A man on a bike nest to a river.	A man on a bike does a very high jump.	1.2
A skier going down the snowy hill.	A brown dog is laying in the snow.	0.4
Two dogs are running on the grass.	Two dogs running in the dirt	3.6
A man is spraying a fluid from a long hose at the beach.	A guy is sitting on his bike with one wheel in the air.	0.6
A person in a red vest is touching the blue ice skates on another person.	A lady fastens someone's ice skates in the snow.	2.2
A girl bounces upside down on her head on a trampoline.	A girl is bouncing on her head on a trampoline.	4.8
A woman standing in front of trees and smiling.	A man is walking by trees in front of the city skyline.	2
A boy doing a back flip into a swimming pool.	A boy wearing red and blue swim trunks jumping head first into a swimming pool.	2.4
three little boys cover themselves with bubbles.	Three children standing by a pool are covered in foam bubbles.	4.2
The boy is looking up at the girl as another girl ignores them.	the boy is diving into the pool as the couple watch.	0.2
A black dog with a blue collar is running in the snow.	A black dog with a red collar plays in the snow.	3.2
A bird sits in a tree.	A bird sits in a leafless tree.	3.8
A brown dog chews on an orange ball.	A dog has an orange ball in its mouth.	4
A brown dog jumping into the air to catch a ball.	three young woman jumping into the air to catch a ball.	0.6
A child is walking from one picnic table to another.	The boy hops from one picnic table to the other in the park.	3.2
A dog in the snow.	Two dogs in snow.	3
Dalmation running along the beach.	A Dalmation runs along a beach.	4.8
A dog running through snow.	A dog runs in the snow.	5
Four black dogs run across the grass.	A dog runs across the grassy field.	2
A man in red and black is hitting a soccer ball with his head.	A man in a red striped soccer shirt heads a ball.	3.6
A brown dog is walking on the grass.	A dog chases another by a tree.	1.2
A woman placing a baby on a skateboard on the beach.	a woman holds a small baby on a skateboard at the beach	4.6
A black dog is biting a light brown dogs ear in a playful manner.	A black dog playfully bits another dog in a living room setting	4
The beagle is walking on the beach at the waterline.	A beagle walks along the calm shore.	4.4
The black and white dog runs through the grass.	A black and white dog is running through grass.	5
Two dogs run through the snow, one with a tennis ball.	The boy is doing a stunt, through the air, on his bicycle.	0
A black dog is walking on the grass with a stick in it's mouth.	The black dog is running on the grass with a toy in it's mouth.	3.2
A man walks toward a policeman standing in a crosswalk on a city street.	A policeman stands in a crosswalk in a city.	3
A black dog and a white dog playing in the street.	A black dog and a white dog play in the street together.	4.6
A large black and white dog is swimming in the water.	A black and white dog with a stick is in muddy water.	3.6
A little boy clowns with a colander on his head.	A boy with a metal colander on his head.	4.2
Two constructions workers sit on a beam taking a break.	The man is putting on his shirt near an elevator.	0
A man and a woman laughing.	A man and a woman kiss.	1.2
A black, brown and white dog running through a field.	A white and brown dog runs in a field.	2.83
Children are playing in a swimming pool while two adult men watch them.	Children play in a pool while adults look on.	4.6
Two kids splashing in the water.	Two dogs play together on the bed.	0
The brown and white dog is walking in shallow waters.	A white and brown dog appears to be walking on the water.	4.6
A woman reads while on public transportation.	A man who has fallen asleep on public transportation.	1.6
A bulldog is running through a grassy park while people stand in the background.	A dog is running in a large body of water causing it to splash.	1.8
A young boy riding a bike on a brick road	A person does tricks on a bike on a ramp surrounded by trees.	2.2
The young man is skateboarding at a skate park.	a boy in a blue T shirt is airborne on a skateboard in a skate park.	3.8
A girl jumping rope on a sidewalk near a parking garage.	A girl jumping rope on a sidewalk with a parking garage to the left.	4.4
A person is out in the water at the beach while the sun sets.	A person above their surfboard on the water.	3
A dog jumps in midair to catch a Frisbee.	The brown dog jumps for a pink Frisbee.	4
The dog returns the play toy to its master.	Three dogs race in the snow together.	1
Two females jump off of swings.	Two girls jump out of swings.	4.6
A woman with a young girl pose with bear statues in front of a store.	A man in a jersey stands in front of a large crowd.	0.6
A shirtless man playing football on a lawn.	A shirtless man catches a football	4.4
A girl wearing green twists something in her hands.	A young boy wearing only green shorts poses awkwardly with a brick background.	0.8
A man in a red jacket holds his bike for the picture.	A woman in a red jacket is video taping a natural landscape.	0.4
A boy jumps into a not-so-crowded public pool.	A man jumps while on a snowboard.	0.8
The clowns are striking a pose for the camera.	A child in orange is on a boogie board in the waves.	0.6
Four kids holding hands jump into a swimming pool.	Four dogs playing in the snow.	0
A boy pushes a wagon with two pumpkins.	A child squats behind a wagon with two pumpkins in it.	2.8
Two soccer players battle for the ball during an intense match.	Two little orange and white dogs are in the snow.	0
The black dog is walking through the tall grass.	The black dog is running through the grass.	3.8
Two black dogs playing in the snow.	A black dog digs in the snow.	3.4
A dog jumps over a chain.	A dog leaping over a chain.	5
A girl with a black purse sitting on a wooden bench.	A young woman with a black purse sits on a wooden bench.	4.6
A black and a yellow dog	A black dog and a brown-and-white dog play in a field.	2.2
Three children in a ball pit.	Several children playing in a ball pit.	3.4
A large white and grey dog runs through a yellow tunnel in an obstacle course.	A white and black dog is running out of a yellow and orange tube.	3.6
A swimmer is doing the backstroke in the swimming pool.	a person doing the back stroke in a swimming pool	4.8
A man stands astride a bike on a rocky trail by a lake.	A woman is wearing a white headband, purple tank top and black gloves.	0
A brown dog is running through green grass.	A brown dog is running though a river.	2.4
A small white dog and large brown dog play on the grass.	A small light tan dog is running past a large brown dog standing in the grass.	3.4
A woman holds a dog while another dog stands nearby in a field.	A lady holding one dog while another dog is playing in the yard.	3.4
A black dog walking through water.	Two black dogs walking through the snow.	2.4
A black dog is running in snow.	A black dog is swimming with a ball in it's mouth.	1.8
A woman dressed in green is playing with her tan dog.	A tan dog licks a girls hand while laying down.	1.6
Two homeless men stand outside with a cardboard sign.	Two homeless young men holding a cardboard sign.	4.6
A brown dog wades in the water.	A dog splashes in the murky water.	3.6
One man in an orange shirt wearing a white helmet is riding a bike.	The man wearing a blue helmet is riding a Polaris.	2.8
A little boy is standing in front of a wedding party laughing.	A person standing on a stage in front of a seated crowd	1.8
A person on a snowmobile.	A person on a snowmobile in mid jump.	3.6
The man is standing on the shore hitting a ball with a paddle.	Two teenage girls are standing on beside the beach listening to ipods.	0.8
This over the top photo shows two men taking a break.	A person with swim cap and goggles taking a breath.	0.4
Two brown dogs running together on sand	Two brown dogs are running on the sand.	4.6
A black dog is chasing after a red Frisbee.	A black poodle is running in the snow.	1.4
Two girls with ponytails ride an amusement park ride.	A young girl is on a ride at an amusement park.	3
A dog digging in the sand.	A brown dog digs in the sand.	4.2
Two men sit on the sidewalk in front of stores.	A woman in a bathing suit walks a dog on the beach.	0
A black and white spotted dog jumps over a stream.	A black and white spotted dog is jumping over the small stream of water.	4.6
A person on a bmx bike.	A man on a bike in mid-air	3
Two dogs running through tall grass.	Two dogs are running through a grassy area.	4.6
Little white dog wearing a leash jumping after a red ball.	A black and white dog returns a stick in the snow.	1
A group of people standing outside of a building.	A large group of people have formed a line outside.	3.2
A group of four children dancing in a backyard.	A group of children do stretches on colored mats.	1.6
a group of teenagers are jumping in the air on the beach.	A group of young people jump up in the air while on the beach.	4.8
A boy waves around a sparkler.	A young boy is twisting a sparkler around in the air.	4.4
Several people are sitting around a fire at night.	A group of people are standing and sitting around on the ground at night.	2.6
Two different breeds of brown and white dogs play on the beach.	Two dogs playing in the sand at the beach.	4
One man and two women dressed in vampire costumes	A man and two women dressed in costumes.	3.4
Two boys, one wearing a hat, in a playground.	Boy in tan hat laughs while sitting near playground equipment.	2.4
Two dogs playing in snow.	Two dogs play in the snow.	5
A woman holds a baby while a man looks at it as another man holding a child watches.	A woman stands with her arms out in a store while another woman holds a camera.	0.4
A white fluffy dog is running in pure white snow.	A fluffy, white dog running in the snow.	4.6
A woman holding a newspaper.	A man rollerblading on a metal bar.	0
A group of men playing brass instruments.	A group of guys play instruments outside.	3.4
Two girls on the shore watch people in a boat fish.	Two males, one in red and one in white playing a basketball game.	0
a snowboarder jumps into the air.	A snowboarder flies through the air.	4
A white dog with red ears is running in the snow.	a wet black dog with a red collar is in the river	0.6
A little girl and a little boy hold hands on a shiny slide.	A little girl in a paisley dress runs across a sandy playground.	0.4
Kids play soccer on a field.	Three boys playing soccer in a field	4.2
A man jumps off of one rooftop onto another.	A young man jumps from one balcony to another.	2.8
One child pulls another, sitting in a red wagon, along the sand.	A young boy pulls another boy wearing a silly hat in a radio flyer wagon.	3.4
An owl has its wings up and widespread during the day.	The bird has its wings spread as it flies.	2.4
A man in a blue cap is sitting on a stool under a tree.	A dog standing on a beach with a ball nearby.	0
A woman sings into a microphone by a guy playing a guitar.	A woman sings into a microphone with a guitar player in the background.	4.4
